"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",-.002,0,
"0.05",-.002,9.333333E-03,
"0.10",-.002,1.833333E-02,
"0.15",-.001,2.766667E-02,
"0.20",0,.037,
"0.25",.004,4.633333E-02,
"0.30",.011,5.566667E-02,
"0.35",.019,6.466667E-02,
"0.40",.029,.074,
"0.45",.038,8.333334E-02,
"0.50",.047,9.266666E-02,
"0.55",.054,.102,
"0.60",.061,.111,
"0.65",.067,.1203333,
"0.70",.074,.1296667,
"0.75",.081,.139,
"0.80",.089,.1483333,
"0.85",.099,.1576667,
"0.90",.107,.167,
"0.95",.117,.176,
"1.00",.127,.1853333,
"1.05",.134,.1946667,
"1.10",.143,.204,
"1.15",.15,.2133333,
"1.20",.158,.2226667,
"1.25",.167,.2316667,
"1.30",.176,.241,
"1.35",.183,.2503333,
"1.40",.191,.2596667,
"1.45",.199,.269,
"1.50",.208,.278,
"1.55",.216,.2873333,
"1.60",.224,.2966667,
"1.65",.232,.306,
"1.70",.239,.3153333,
"1.75",.247,.3246667,
"1.80",.255,.334,
"1.85",.264,.343,
"1.90",.273,.3523333,
"1.95",.281,.3616667,
"2.00",.29,.3706667,
"2.05",.297,.3796667,
"2.10",.306,.3886667,
"2.15",.314,.3976667,
"2.20",.321,.4063333,
"2.25",.33,.4153333,
"2.30",.338,.4243333,
"2.35",.346,.4333333,
"2.40",.354,.442,
"2.45",.36,.4506667,
"2.50",.368,.4593333,
"2.55",.375,.4683333,
"2.60",.382,.477,
"2.65",.39,.4856667,
"2.70",.399,.4943333,
"2.75",.406,.5033333,
"2.80",.413,.512,
"2.85",.42,.5203333,
"2.90",.427,.529,
"2.95",.433,.5376667,
"3.00",.442,.5463333,
"3.05",.45,.555,
"3.10",.458,.5636666,
"3.15",.465,.572,
"3.20",.472,.5806667,
"3.25",.478,.589,
"3.30",.487,.5976667,
"3.35",.495,.6063333,
"3.40",.501,.6146666,
"3.45",.51,.6233333,
"3.50",.517,.6316667,
"3.55",.523,.6403334,
"3.60",.531,.6486667,
"3.65",.538,.657,
"3.70",.545,.6656666,
"3.75",.553,.674,
"3.80",.56,.6826667,
"3.85",.566,.691,
"3.90",.573,.6993333,
"3.95",.579,.708,
"4.00",.587,.7163333,
"4.05",.595,.7246667,
"4.10",.603,.733,
"4.15",.611,.7416667,
"4.20",.618,.75,
"4.25",.626,.7583333,
"4.30",.633,.7666667,
"4.35",.64,.775,
"4.40",.646,.7836667,
"4.45",.652,.792,
"4.50",.658,.8003333,
"4.55",.664,.8086666,
"4.60",.672,.8173333,
"4.65",.68,.8256667,
"4.70",.688,.834,
"4.75",.695,.8423333,
"4.80",.701,.8506666,
"4.85",.706,.859,
"4.90",.712,.8673334,
"4.95",.718,.8756667,
"5.00",.725,.884,
"5.05",.732,.8926666,
"5.10",.739,.9006667,
"5.15",.745,.9093333,
"5.20",.751,.9176667,
"5.25",.758,.926,
"5.30",.766,.9343333,
"5.35",.772,.9426666,
"5.40",.78,.951,
"5.45",.786,.9593334,
"5.50",.793,.9676667,
"5.55",.8,.976,
"5.60",.805,.9843333,
"5.65",.813,.9926667,
"5.70",.819,1.001,
"5.75",.826,1.009667,
"5.80",.833,1.017667,
"5.85",.838,1.026,
"5.90",.844,1.034333,
"5.95",.849,1.042667,
"6.00",.855,1.051,
"6.05",.862,1.059333,
"6.10",.868,1.067667,
"6.15",.874,1.076,
"6.20",.881,1.084333,
"6.25",.889,1.093,
"6.30",.896,1.101333,
"6.35",.903,1.109667,
"6.40",.91,1.117667,
"6.45",.915,1.126333,
"6.50",.922,1.134667,
"6.55",.928,1.143,
"6.60",.933,1.151333,
"6.65",.937,1.159667,
"6.70",.944,1.168,
"6.75",.95,1.176333,
"6.80",.957,1.184667,
"6.85",.964,1.193,
"6.90",.971,1.201333,
"6.95",.976,1.209333,
"7.00",.982,1.218,
"7.05",.989,1.226333,
"7.10",.994,1.234667,
"7.15",1,1.243,
"7.20",1.007,1.251333,
"7.25",1.011,1.259667,
"7.30",1.018,1.268,
"7.35",1.023,1.276333,
"7.40",1.027,1.284667,
"7.45",1.033,1.293,
"7.50",1.038,1.301333,
"7.55",1.042,1.309667,
"7.60",1.049,1.318,
"7.65",1.056,1.326333,
"7.70",1.063,1.334667,
"7.75",1.07,1.343,
"7.80",1.075,1.351333,
"7.85",1.081,1.359667,
"7.90",1.087,1.368,
"7.95",1.093,1.376333,
"8.00",1.098,1.384667,
"8.05",1.102,1.393,
"8.10",1.108,1.401333,
"8.15",1.113,1.409667,
"8.20",1.118,1.418,
"8.25",1.125,1.426333,
"8.30",1.132,1.434667,
"8.35",1.137,1.443,
"8.40",1.144,1.451333,
"8.45",1.148,1.459667,
"8.50",1.155,1.468,
"8.55",1.162,1.476333,
"8.60",1.167,1.484667,
"8.65",1.173,1.493,
"8.70",1.178,1.501333,
"8.75",1.184,1.509667,
"8.80",1.189,1.518,
"8.85",1.194,1.526333,
"8.90",1.2,1.534667,
"8.95",1.205,1.543,
"9.00",1.212,1.551333,
"9.05",1.217,1.559667,
"9.10",1.221,1.568,
"9.15",1.225,1.576333,
"9.20",1.229,1.584667,
"9.25",1.236,1.593,
"9.30",1.241,1.601333,
"9.35",1.247,1.609667,
"9.40",1.252,1.618,
"9.45",1.256,1.626333,
"9.50",1.26,1.634667,
"9.55",1.263,1.643,
"9.60",1.268,1.651333,
"9.65",1.273,1.66,
"9.70",1.281,1.668,
"9.75",1.287,1.676333,
"9.80",1.294,1.684667,
"9.85",1.299,1.693,
"9.90",1.303,1.701333,
"9.95",1.304,1.709667,
"10.00",1.308,1.718,
