"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",.003,0,
"0.05",.001,.008,
"0.10",-.001,1.733333E-02,
"0.15",0,2.633333E-02,
"0.20",0,3.566667E-02,
"0.25",-.001,.045,
"0.30",-.001,.054,
"0.35",.001,6.333333E-02,
"0.40",.003,7.266667E-02,
"0.45",.004,8.166666E-02,
"0.50",.007,.091,
"0.55",.01,.1,
"0.60",.015,.1093333,
"0.65",.019,.1186667,
"0.70",.023,.128,
"0.75",.028,.137,
"0.80",.033,.1463333,
"0.85",.036,.1556667,
"0.90",.04,.165,
"0.95",.044,.174,
"1.00",.049,.1833333,
"1.05",.051,.1923333,
"1.10",.056,.2016667,
"1.15",.061,.211,
"1.20",.065,.22,
"1.25",.069,.2293333,
"1.30",.074,.2386667,
"1.35",.077,.2476667,
"1.40",.081,.257,
"1.45",.085,.2663333,
"1.50",.089,.2753333,
"1.55",.092,.2846667,
"1.60",.096,.294,
"1.65",.099,.303,
"1.70",.103,.3123333,
"1.75",.105,.3216667,
"1.80",.11,.3306667,
"1.85",.114,.34,
"1.90",.118,.3493333,
"1.95",.123,.3583333,
"2.00",.127,.3673333,
"2.05",.129,.376,
"2.10",.134,.385,
"2.15",.138,.394,
"2.20",.143,.403,
"2.25",.147,.4116667,
"2.30",.149,.4206667,
"2.35",.153,.4296667,
"2.40",.158,.4383333,
"2.45",.161,.447,
"2.50",.165,.4556667,
"2.55",.168,.4646667,
"2.60",.171,.4733333,
"2.65",.173,.482,
"2.70",.176,.4906667,
"2.75",.181,.4993333,
"2.80",.185,.508,
"2.85",.188,.5166667,
"2.90",.193,.5253333,
"2.95",.197,.5336667,
"3.00",.201,.5423333,
"3.05",.204,.551,
"3.10",.206,.5596667,
"3.15",.21,.568,
"3.20",.214,.5766667,
"3.25",.216,.585,
"3.30",.22,.5936667,
"3.35",.224,.602,
"3.40",.228,.6106667,
"3.45",.228,.619,
"3.50",.232,.6276667,
"3.55",.236,.636,
"3.60",.24,.6446667,
"3.65",.243,.653,
"3.70",.247,.6613333,
"3.75",.25,.67,
"3.80",.253,.6783333,
"3.85",.257,.6866667,
"3.90",.26,.6953334,
"3.95",.263,.7036667,
"4.00",.267,.712,
"4.05",.27,.7203333,
"4.10",.274,.729,
"4.15",.279,.7373334,
"4.20",.282,.7456667,
"4.25",.285,.754,
"4.30",.287,.7623333,
"4.35",.291,.7706667,
"4.40",.295,.7793334,
"4.45",.298,.7876667,
"4.50",.302,.796,
"4.55",.305,.8043333,
"4.60",.309,.813,
"4.65",.312,.8213333,
"4.70",.317,.8296667,
"4.75",.321,.838,
"4.80",.323,.8463333,
"4.85",.324,.8546667,
"4.90",.328,.8633333,
"4.95",.332,.8716667,
"5.00",.337,.88,
"5.05",.341,.8883333,
"5.10",.344,.8966666,
"5.15",.347,.905,
"5.20",.35,.9133334,
"5.25",.352,.9216667,
"5.30",.354,.93,
"5.35",.357,.9383333,
"5.40",.36,.9466667,
"5.45",.363,.9553334,
"5.50",.366,.9633333,
"5.55",.37,.972,
"5.60",.375,.98,
"5.65",.379,.9886667,
"5.70",.384,.997,
"5.75",.386,1.005333,
"5.80",.39,1.013667,
"5.85",.392,1.022,
"5.90",.394,1.030333,
"5.95",.399,1.038667,
"6.00",.403,1.047,
"6.05",.404,1.055333,
"6.10",.408,1.063667,
"6.15",.412,1.072,
"6.20",.415,1.080333,
"6.25",.417,1.088667,
"6.30",.421,1.097,
"6.35",.425,1.105333,
"6.40",.429,1.113667,
"6.45",.432,1.122,
"6.50",.435,1.130333,
"6.55",.438,1.138667,
"6.60",.441,1.147,
"6.65",.443,1.155333,
"6.70",.446,1.163667,
"6.75",.451,1.172,
"6.80",.455,1.180333,
"6.85",.457,1.188667,
"6.90",.462,1.197,
"6.95",.464,1.205333,
"7.00",.468,1.213667,
"7.05",.471,1.222,
"7.10",.474,1.230333,
"7.15",.478,1.238667,
"7.20",.481,1.247,
"7.25",.484,1.255333,
"7.30",.487,1.263667,
"7.35",.49,1.272,
"7.40",.493,1.280333,
"7.45",.496,1.288667,
"7.50",.5,1.297,
"7.55",.504,1.305333,
"7.60",.508,1.313667,
"7.65",.511,1.322,
"7.70",.513,1.330333,
"7.75",.517,1.338667,
"7.80",.52,1.347,
"7.85",.522,1.355333,
"7.90",.526,1.363667,
"7.95",.529,1.372333,
"8.00",.533,1.380333,
"8.05",.536,1.389,
"8.10",.54,1.397333,
"8.15",.544,1.405667,
"8.20",.549,1.414,
"8.25",.552,1.422333,
"8.30",.556,1.430667,
"8.35",.559,1.438667,
"8.40",.562,1.447333,
"8.45",.565,1.455667,
"8.50",.568,1.464,
"8.55",.571,1.472333,
"8.60",.574,1.480333,
"8.65",.575,1.488667,
"8.70",.579,1.497333,
"8.75",.583,1.505333,
"8.80",.584,1.513667,
"8.85",.587,1.522,
"8.90",.59,1.530333,
"8.95",.593,1.538667,
"9.00",.597,1.547,
"9.05",.6,1.555333,
"9.10",.603,1.563667,
"9.15",.607,1.572,
"9.20",.611,1.580333,
"9.25",.614,1.588667,
"9.30",.617,1.597,
"9.35",.62,1.605333,
"9.40",.623,1.613667,
"9.45",.625,1.622333,
"9.50",.629,1.630333,
"9.55",.633,1.638667,
"9.60",.637,1.647,
"9.65",.639,1.655333,
"9.70",.643,1.664,
"9.75",.647,1.672333,
