"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",.003,0,
"0.05",.002,9.333333E-03,
"0.10",.001,1.866667E-02,
"0.15",0,2.766667E-02,
"0.20",.001,.037,
"0.25",0,.046,
"0.30",-.002,5.533333E-02,
"0.35",-.002,6.466667E-02,
"0.40",.001,7.366667E-02,
"0.45",.001,.083,
"0.50",0,.092,
"0.55",.001,.1013333,
"0.60",.002,.1103333,
"0.65",.001,.1196667,
"0.70",-.001,.1286667,
"0.75",-.001,.138,
"0.80",0,.1473333,
"0.85",0,.1563333,
"0.90",.001,.1656667,
"0.95",.002,.1746667,
"1.00",.005,.184,
"1.05",.009,.1933333,
"1.10",.013,.2023333,
"1.15",.017,.2116667,
"1.20",.024,.221,
"1.25",.032,.23,
"1.30",.04,.2393333,
"1.35",.049,.2483333,
"1.40",.056,.2576667,
"1.45",.064,.2666667,
"1.50",.074,.276,
"1.55",.082,.2853333,
"1.60",.092,.2943333,
"1.65",.101,.3036667,
"1.70",.108,.3126667,
"1.75",.116,.322,
"1.80",.126,.3313333,
"1.85",.136,.3403333,
"1.90",.145,.3496667,
"1.95",.154,.3586667,
"2.00",.161,.3676667,
"2.05",.169,.3766667,
"2.10",.178,.3856667,
"2.15",.188,.3946667,
"2.20",.2,.4036667,
"2.25",.21,.4123333,
"2.30",.219,.4213333,
"2.35",.226,.4303333,
"2.40",.234,.439,
"2.45",.241,.448,
"2.50",.249,.4566667,
"2.55",.259,.4653333,
"2.60",.267,.474,
"2.65",.278,.4826667,
"2.70",.287,.4913333,
"2.75",.294,.5003333,
"2.80",.303,.509,
"2.85",.311,.5176666,
"2.90",.32,.526,
"2.95",.33,.5346667,
"3.00",.337,.543,
"3.05",.346,.5516666,
"3.10",.353,.5603333,
"3.15",.361,.569,
"3.20",.37,.5776666,
"3.25",.378,.586,
"3.30",.386,.5946667,
"3.35",.394,.603,
"3.40",.401,.6116666,
"3.45",.41,.62,
"3.50",.417,.6286666,
"3.55",.425,.637,
"3.60",.434,.6456667,
"3.65",.441,.654,
"3.70",.449,.6623333,
"3.75",.458,.671,
"3.80",.464,.6793333,
"3.85",.473,.6876667,
"3.90",.481,.6963333,
"3.95",.488,.7046667,
"4.00",.497,.713,
"4.05",.506,.7213333,
"4.10",.515,.73,
"4.15",.525,.7383333,
"4.20",.533,.7466667,
"4.25",.541,.755,
"4.30",.547,.7633333,
"4.35",.554,.772,
"4.40",.561,.7803333,
"4.45",.57,.7886667,
"4.50",.578,.797,
"4.55",.586,.8053333,
"4.60",.594,.8136666,
"4.65",.602,.822,
"4.70",.61,.8303333,
"4.75",.619,.839,
"4.80",.627,.8473333,
"4.85",.635,.8556666,
"4.90",.643,.864,
"4.95",.65,.8723333,
"5.00",.658,.8806667,
"5.05",.666,.889,
"5.10",.673,.8973333,
"5.15",.68,.906,
"5.20",.688,.9143333,
"5.25",.695,.9226667,
"5.30",.704,.931,
"5.35",.713,.9393333,
"5.40",.72,.9476666,
"5.45",.728,.956,
"5.50",.735,.9643333,
"5.55",.742,.9726666,
"5.60",.749,.9813333,
"5.65",.754,.9896666,
"5.70",.762,.998,
"5.75",.77,1.006333,
"5.80",.778,1.014667,
"5.85",.786,1.023,
"5.90",.792,1.031333,
"5.95",.799,1.039667,
"6.00",.806,1.048,
"6.05",.814,1.056333,
"6.10",.822,1.064667,
"6.15",.83,1.073,
"6.20",.837,1.081333,
"6.25",.843,1.089667,
"6.30",.85,1.098,
"6.35",.859,1.106333,
"6.40",.865,1.114667,
"6.45",.873,1.123,
"6.50",.88,1.131333,
"6.55",.886,1.139667,
"6.60",.892,1.148,
"6.65",.899,1.156333,
"6.70",.905,1.164667,
"6.75",.912,1.173,
"6.80",.922,1.181333,
"6.85",.93,1.189667,
"6.90",.938,1.198,
"6.95",.946,1.206333,
"7.00",.951,1.214667,
"7.05",.958,1.223,
"7.10",.965,1.231333,
"7.15",.971,1.239667,
"7.20",.979,1.248,
"7.25",.986,1.256333,
"7.30",.991,1.264667,
"7.35",.999,1.273,
"7.40",1.006,1.281333,
"7.45",1.013,1.289667,
"7.50",1.02,1.298,
"7.55",1.026,1.306333,
"7.60",1.032,1.314667,
"7.65",1.04,1.323,
"7.70",1.047,1.331333,
"7.75",1.055,1.339667,
"7.80",1.062,1.348,
"7.85",1.068,1.356333,
"7.90",1.074,1.364667,
"7.95",1.079,1.373,
"8.00",1.086,1.381333,
"8.05",1.094,1.39,
"8.10",1.101,1.398333,
"8.15",1.109,1.406333,
"8.20",1.115,1.414667,
"8.25",1.123,1.423,
"8.30",1.128,1.431333,
"8.35",1.135,1.44,
"8.40",1.142,1.448333,
"8.45",1.148,1.456333,
"8.50",1.154,1.464667,
"8.55",1.161,1.473,
"8.60",1.166,1.481667,
"8.65",1.172,1.489667,
"8.70",1.178,1.498,
"8.75",1.185,1.506667,
"8.80",1.191,1.515,
"8.85",1.199,1.523,
"8.90",1.206,1.531333,
"8.95",1.213,1.539667,
"9.00",1.22,1.548,
"9.05",1.227,1.556333,
"9.10",1.233,1.564667,
"9.15",1.238,1.573,
"9.20",1.244,1.581333,
"9.25",1.251,1.589667,
"9.30",1.257,1.598,
"9.35",1.264,1.606333,
"9.40",1.27,1.614667,
"9.45",1.276,1.623,
"9.50",1.282,1.631333,
"9.55",1.287,1.639667,
