"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",0,0,
"0.05",.001,9.333333E-03,
"0.10",.002,1.866667E-02,
"0.15",.004,.028,
"0.20",.007,3.733334E-02,
"0.25",.013,4.666667E-02,
"0.30",.021,.056,
"0.35",.028,6.500001E-02,
"0.40",.035,7.433333E-02,
"0.45",.042,8.366667E-02,
"0.50",.049,.093,
"0.55",.059,.1023333,
"0.60",.067,.1116667,
"0.65",.074,.121,
"0.70",.083,.13,
"0.75",.091,.1393333,
"0.80",.1,.1486667,
"0.85",.11,.158,
"0.90",.119,.167,
"0.95",.126,.1763333,
"1.00",.134,.1856667,
"1.05",.141,.195,
"1.10",.15,.2043333,
"1.15",.158,.2133333,
"1.20",.166,.2226667,
"1.25",.173,.232,
"1.30",.179,.2413333,
"1.35",.188,.2506666,
"1.40",.196,.2596667,
"1.45",.204,.269,
"1.50",.214,.2783333,
"1.55",.221,.2876666,
"1.60",.228,.297,
"1.65",.237,.306,
"1.70",.244,.3153333,
"1.75",.253,.3246666,
"1.80",.263,.334,
"1.85",.27,.3433333,
"1.90",.279,.3523333,
"1.95",.286,.3616666,
"2.00",.294,.371,
"2.05",.302,.38,
"2.10",.309,.389,
"2.15",.317,.398,
"2.20",.324,.407,
"2.25",.331,.416,
"2.30",.339,.425,
"2.35",.347,.4336666,
"2.40",.355,.4426666,
"2.45",.362,.4513333,
"2.50",.37,.4603333,
"2.55",.378,.469,
"2.60",.386,.4776666,
"2.65",.395,.4863333,
"2.70",.401,.4953333,
"2.75",.408,.504,
"2.80",.414,.5126667,
"2.85",.421,.5213333,
"2.90",.43,.53,
"2.95",.438,.5386667,
"3.00",.446,.5470001,
"3.05",.454,.5556667,
"3.10",.46,.5643334,
"3.15",.467,.573,
"3.20",.475,.5813333,
"3.25",.482,.59,
"3.30",.489,.5983334,
"3.35",.497,.6070001,
"3.40",.503,.6156667,
"3.45",.51,.624,
"3.50",.517,.6326667,
"3.55",.521,.641,
"3.60",.527,.6496667,
"3.65",.534,.6580001,
"3.70",.542,.6663334,
"3.75",.551,.675,
"3.80",.559,.6833333,
"3.85",.566,.692,
"3.90",.572,.7003334,
"3.95",.579,.7090001,
"4.00",.586,.7173334,
"4.05",.593,.7256667,
"4.10",.599,.734,
"4.15",.606,.7423334,
"4.20",.611,.751,
"4.25",.617,.7593334,
"4.30",.625,.7676667,
"4.35",.632,.776,
"4.40",.639,.7846667,
"4.45",.646,.793,
"4.50",.651,.8013334,
"4.55",.657,.8096667,
"4.60",.663,.818,
"4.65",.67,.8263333,
"4.70",.677,.8346667,
"4.75",.684,.8433334,
"4.80",.689,.8513334,
"4.85",.696,.86,
"4.90",.702,.8683333,
"4.95",.71,.8766667,
"5.00",.717,.8850001,
"5.05",.723,.8933334,
"5.10",.728,.9016667,
"5.15",.735,.91,
"5.20",.742,.9183334,
"5.25",.749,.927,
"5.30",.756,.9353334,
"5.35",.762,.9436667,
"5.40",.768,.952,
"5.45",.774,.9603333,
"5.50",.782,.9686667,
"5.55",.787,.977,
"5.60",.795,.9853334,
"5.65",.802,.9936667,
"5.70",.808,1.002,
"5.75",.815,1.010333,
"5.80",.821,1.018667,
"5.85",.827,1.027,
"5.90",.833,1.035667,
"5.95",.838,1.044,
"6.00",.844,1.052333,
"6.05",.85,1.060667,
"6.10",.857,1.069,
"6.15",.864,1.077333,
"6.20",.87,1.085667,
"6.25",.877,1.094,
"6.30",.884,1.102,
"6.35",.889,1.110333,
"6.40",.895,1.119,
"6.45",.9,1.127333,
"6.50",.906,1.135667,
"6.55",.912,1.144,
"6.60",.919,1.152333,
"6.65",.926,1.160667,
"6.70",.931,1.169,
"6.75",.937,1.177333,
"6.80",.942,1.185667,
"6.85",.948,1.194,
"6.90",.956,1.202333,
"6.95",.962,1.210667,
"7.00",.968,1.219,
"7.05",.974,1.227333,
"7.10",.979,1.235667,
"7.15",.986,1.244,
"7.20",.992,1.252333,
"7.25",.999,1.260667,
"7.30",1.005,1.269,
"7.35",1.01,1.277333,
"7.40",1.016,1.285667,
"7.45",1.022,1.294,
"7.50",1.029,1.302333,
"7.55",1.036,1.310667,
"7.60",1.042,1.319,
"7.65",1.046,1.327333,
"7.70",1.051,1.335667,
"7.75",1.057,1.344,
"7.80",1.063,1.352333,
"7.85",1.069,1.360667,
"7.90",1.075,1.369,
"7.95",1.081,1.377333,
"8.00",1.086,1.385667,
"8.05",1.092,1.394,
"8.10",1.099,1.402667,
"8.15",1.105,1.411,
"8.20",1.11,1.419,
"8.25",1.116,1.427333,
"8.30",1.12,1.436,
"8.35",1.125,1.444333,
"8.40",1.13,1.452667,
"8.45",1.136,1.461,
"8.50",1.143,1.469333,
"8.55",1.15,1.477667,
"8.60",1.154,1.485667,
"8.65",1.16,1.494,
"8.70",1.165,1.502333,
"8.75",1.171,1.510667,
"8.80",1.175,1.519,
"8.85",1.181,1.527333,
"8.90",1.187,1.535667,
"8.95",1.193,1.544,
"9.00",1.198,1.552333,
"9.05",1.203,1.560667,
"9.10",1.207,1.569,
"9.15",1.214,1.577333,
"9.20",1.219,1.585667,
"9.25",1.225,1.594,
"9.30",1.23,1.602333,
"9.35",1.235,1.610667,
"9.40",1.239,1.619,
"9.45",1.244,1.627333,
"9.50",1.25,1.635667,
"9.55",1.256,1.644,
"9.60",1.261,1.652667,
"9.65",1.267,1.660667,
"9.70",1.272,1.669,
"9.75",1.277,1.677333,
"9.80",1.281,1.685667,
"9.85",1.286,1.694,
"9.90",1.291,1.702667,
"9.95",1.298,1.711,
"10.00",1.302,1.719333,
"10.05",1.308,1.727667,
"10.10",1.313,1.736,
"10.15",1.319,1.744333,
"10.20",1.323,1.752667,
"10.25",1.329,1.761,
"10.30",1.334,1.769333,
"10.35",1.339,1.777667,
"10.40",1.345,1.786,
"10.45",1.351,1.794333,
"10.50",1.355,1.802667,
"10.55",1.36,1.810667,
"10.60",1.364,1.819,
"10.65",1.368,1.827333,
"10.70",1.374,1.835667,
"10.75",1.38,1.844,
"10.80",1.386,1.852333,
"10.85",1.391,1.860667,
"10.90",1.397,1.869,
"10.95",1.402,1.877333,
"11.00",1.406,1.885667,
"11.05",1.411,1.894,
"11.10",1.414,1.902333,
"11.15",1.419,1.910667,
"11.20",1.425,1.919,
"11.25",1.429,1.927333,
"11.30",1.434,1.935667,
"11.35",1.439,1.944333,
"11.40",1.443,1.952667,
"11.45",1.448,1.960667,
"11.50",1.452,1.969333,
"11.55",1.458,1.977333,
"11.60",1.463,1.986,
"11.65",1.466,1.994,
"11.70",1.47,2.002333,
"11.75",1.475,2.010667,
"11.80",1.48,2.019,
"11.85",1.486,2.027333,
"11.90",1.492,2.036,
"11.95",1.498,2.044333,
"12.00",1.501,2.052333,
"12.05",1.505,2.061,
"12.10",1.509,2.069,
"12.15",1.513,2.077333,
"12.20",1.517,2.085667,
"12.25",1.52,2.094,
"12.30",1.525,2.102333,
"12.35",1.531,2.110667,
"12.40",1.535,2.119,
"12.45",1.54,2.127333,
"12.50",1.545,2.135667,
"12.55",1.55,2.144,
"12.60",1.555,2.152333,
"12.65",1.558,2.160667,
"12.70",1.563,2.169,
"12.75",1.567,2.177333,
"12.80",1.571,2.185667,
"12.85",1.576,2.194,
"12.90",1.581,2.202333,
"12.95",1.586,2.210667,
"13.00",1.59,2.219,
"13.05",1.595,2.227333,
"13.10",1.599,2.235667,
"13.15",1.603,2.244,
"13.20",1.608,2.252333,
"13.25",1.614,2.260667,
"13.30",1.616,2.269,
"13.35",1.62,2.277333,
"13.40",1.623,2.285667,
"13.45",1.627,2.294,
"13.50",1.632,2.302333,
"13.55",1.637,2.310667,
"13.60",1.641,2.319,
"13.65",1.645,2.327333,
"13.70",1.648,2.335667,
"13.75",1.653,2.344,
"13.80",1.658,2.352333,
"13.85",1.662,2.360667,
"13.90",1.668,2.369,
"13.95",1.673,2.377333,
"14.00",1.677,2.385667,
"14.05",1.681,2.394,
"14.10",1.685,2.402333,
"14.15",1.69,2.410667,
"14.20",1.694,2.419,
"14.25",1.699,2.427333,
"14.30",1.704,2.435667,
"14.35",1.709,2.444,
"14.40",1.712,2.452333,
"14.45",1.715,2.460667,
"14.50",1.719,2.469,
"14.55",1.724,2.477333,
"14.60",1.728,2.485667,
"14.65",1.732,2.494,
"14.70",1.735,2.502,
"14.75",1.74,2.510333,
"14.80",1.744,2.518667,
"14.85",1.749,2.527333,
"14.90",1.753,2.535667,
"14.95",1.757,2.544,
"15.00",1.76,2.552333,
"15.05",1.764,2.560667,
"15.10",1.769,2.569,
"15.15",1.773,2.577333,
"15.20",1.777,2.585667,
"15.25",1.783,2.594,
"15.30",1.786,2.602333,
"15.35",1.791,2.610667,
"15.40",1.794,2.619,
"15.45",1.798,2.627333,
"15.50",1.803,2.635667,
"15.55",1.807,2.644,
"15.60",1.812,2.652333,
"15.65",1.816,2.660667,
"15.70",1.819,2.669,
"15.75",1.824,2.677333,
"15.80",1.828,2.685667,
"15.85",1.831,2.694,
"15.90",1.835,2.702333,
"15.95",1.84,2.710667,
"16.00",1.844,2.719,
"16.05",1.848,2.727333,
"16.10",1.852,2.735667,
"16.15",1.855,2.744,
"16.20",1.859,2.752333,
"16.25",1.863,2.760667,
"16.30",1.867,2.769,
"16.35",1.872,2.777333,
"16.40",1.875,2.785667,
"16.45",1.88,2.794,
"16.50",1.883,2.802333,
"16.55",1.889,2.810667,
"16.60",1.891,2.819,
"16.65",1.896,2.827333,
"16.70",1.9,2.835667,
"16.75",1.906,2.844,
"16.80",1.909,2.852333,
"16.85",1.913,2.860667,
"16.90",1.916,2.869,
"16.95",1.919,2.877333,
"17.00",1.922,2.885667,
"17.05",1.927,2.894,
"17.10",1.931,2.902333,
"17.15",1.936,2.910667,
"17.20",1.94,2.919,
"17.25",1.944,2.927333,
"17.30",1.948,2.935667,
"17.35",1.951,2.944,
"17.40",1.954,2.952333,
"17.45",1.958,2.960667,
"17.50",1.963,2.969,
"17.55",1.969,2.977333,
"17.60",1.973,2.985667,
"17.65",1.977,2.994,
"17.70",1.979,3.002333,
"17.75",1.984,3.010667,
"17.80",1.987,3.019,
"17.85",1.991,3.027333,
"17.90",1.997,3.035667,
"17.95",2.002,3.044,
"18.00",2.005,3.052333,
"18.05",2.01,3.060667,
"18.10",2.014,3.069,
"18.15",2.018,3.077333,
"18.20",2.02,3.085667,
"18.25",2.024,3.094,
"18.30",2.027,3.102333,
"18.35",2.031,3.110667,
"18.40",2.035,3.119,
"18.45",2.039,3.127333,
"18.50",2.044,3.135667,
"18.55",2.049,3.144,
"18.60",2.053,3.152333,
"18.65",2.057,3.160667,
"18.70",2.062,3.169,
"18.75",2.067,3.177333,
"18.80",2.07,3.185667,
"18.85",2.074,3.194,
"18.90",2.078,3.202333,
"18.95",2.082,3.210667,
"19.00",2.084,3.219,
"19.05",2.088,3.227333,
"19.10",2.092,3.235667,
"19.15",2.095,3.244,
"19.20",2.099,3.252333,
"19.25",2.103,3.260667,
"19.30",2.109,3.269,
"19.35",2.114,3.277333,
"19.40",2.118,3.285667,
"19.45",2.121,3.294,
"19.50",2.125,3.302333,
"19.55",2.129,3.310333,
"19.60",2.133,3.319,
"19.65",2.138,3.327333,
"19.70",2.141,3.335333,
"19.75",2.146,3.343667,
"19.80",2.148,3.352,
"19.85",2.153,3.360667,
"19.90",2.156,3.369,
"19.95",2.16,3.377333,
"20.00",2.163,3.385667,
"20.05",2.167,3.394,
"20.10",2.171,3.402,
"20.15",2.176,3.410667,
"20.20",2.18,3.419,
"20.25",2.184,3.427333,
"20.30",2.188,3.435667,
"20.35",2.191,3.444,
"20.40",2.193,3.452,
"20.45",2.198,3.460667,
"20.50",2.203,3.469,
"20.55",2.208,3.477333,
"20.60",2.212,3.485667,
"20.65",2.216,3.493667,
"20.70",2.22,3.502,
"20.75",2.225,3.510333,
"20.80",2.228,3.518667,
"20.85",2.232,3.527,
"20.90",2.235,3.535333,
"20.95",2.24,3.544,
"21.00",2.244,3.552333,
"21.05",2.248,3.560333,
"21.10",2.253,3.569,
"21.15",2.257,3.577333,
"21.20",2.26,3.585667,
"21.25",2.265,3.594,
"21.30",2.268,3.602333,
"21.35",2.272,3.610667,
"21.40",2.275,3.619,
"21.45",2.278,3.627333,
"21.50",2.282,3.635667,
"21.55",2.286,3.644,
"21.60",2.289,3.652333,
"21.65",2.294,3.660667,
"21.70",2.299,3.669,
"21.75",2.304,3.677,
"21.80",2.307,3.685333,
"21.85",2.312,3.694,
"21.90",2.316,3.702,
"21.95",2.322,3.710333,
"22.00",2.326,3.718667,
"22.05",2.331,3.727,
"22.10",2.334,3.735333,
"22.15",2.337,3.744,
"22.20",2.341,3.752333,
"22.25",2.344,3.760667,
"22.30",2.349,3.769,
"22.35",2.352,3.777333,
"22.40",2.355,3.785667,
"22.45",2.36,3.794,
"22.50",2.365,3.802333,
"22.55",2.369,3.810667,
"22.60",2.373,3.819,
"22.65",2.377,3.827333,
"22.70",2.382,3.835667,
"22.75",2.386,3.844,
"22.80",2.388,3.852333,
"22.85",2.392,3.860667,
"22.90",2.397,3.869,
"22.95",2.401,3.877333,
"23.00",2.405,3.885667,
"23.05",2.409,3.894,
"23.10",2.412,3.902333,
"23.15",2.417,3.910667,
"23.20",2.42,3.919,
"23.25",2.423,3.927333,
"23.30",2.428,3.935667,
"23.35",2.433,3.944,
"23.40",2.437,3.952333,
"23.45",2.441,3.960667,
"23.50",2.444,3.969,
"23.55",2.449,3.977333,
"23.60",2.453,3.985667,
"23.65",2.456,3.994,
"23.70",2.461,4.002333,
"23.75",2.465,4.010334,
"23.80",2.468,4.018667,
"23.85",2.472,4.027,
"23.90",2.475,4.035666,
"23.95",2.48,4.043667,
"24.00",2.483,4.052,
"24.05",2.487,4.060667,
"24.10",2.492,4.068666,
"24.15",2.495,4.077333,
"24.20",2.499,4.085667,
"24.25",2.504,4.094,
"24.30",2.509,4.102334,
"24.35",2.514,4.110667,
"24.40",2.517,4.119,
"24.45",2.521,4.127333,
"24.50",2.526,4.135667,
"24.55",2.531,4.143667,
"24.60",2.534,4.152,
"24.65",2.538,4.160333,
"24.70",2.541,4.168667,
"24.75",2.545,4.177,
"24.80",2.549,4.185333,
"24.85",2.554,4.193666,
"24.90",2.558,4.202,
"24.95",2.563,4.210333,
"25.00",2.566,4.218667,
"25.05",2.57,4.227,
"25.10",2.574,4.235333,
"25.15",2.578,4.243667,
"25.20",2.581,4.252,
"25.25",2.586,4.260334,
"25.30",2.589,4.268667,
"25.35",2.592,4.277333,
"25.40",2.594,4.285666,
"25.45",2.599,4.294,
"25.50",2.605,4.302333,
"25.55",2.611,4.310667,
"25.60",2.616,4.319,
"25.65",2.62,4.327333,
"25.70",2.622,4.335667,
"25.75",2.627,4.344,
"25.80",2.631,4.352334,
"25.85",2.635,4.360667,
"25.90",2.641,4.369,
"25.95",2.645,4.377333,
"26.00",2.649,4.385667,
"26.05",2.653,4.394,
"26.10",2.656,4.402333,
"26.15",2.661,4.410666,
"26.20",2.664,4.419,
"26.25",2.668,4.427333,
"26.30",2.674,4.435667,
"26.35",2.678,4.444,
"26.40",2.681,4.452333,
"26.45",2.686,4.460667,
"26.50",2.689,4.469,
"26.55",2.692,4.477334,
"26.60",2.696,4.485667,
"26.65",2.699,4.494,
"26.70",2.704,4.502333,
"26.75",2.71,4.510667,
"26.80",2.713,4.519,
"26.85",2.719,4.527333,
"26.90",2.723,4.535666,
"26.95",2.727,4.544,
"27.00",2.73,4.552333,
"27.05",2.734,4.560667,
"27.10",2.74,4.569,
"27.15",2.745,4.577333,
"27.20",2.749,4.585667,
"27.25",2.751,4.594,
"27.30",2.754,4.602334,
