"Test Name","Test Mode","Test Type","Control","Test Speed 1","Test Speed 2","Test Speed 3","Change Point 1","Change Point 2","Disp. Origin","Break and Limit Action","Sensitivity:","Level:"
"","Single","Tensile","Stroke",10,1,1,"Off","Off","Start","Stop",0,1

"Title","Sub title","Comment"
"","",""

"Shape:","Batch Size:","SubBatch Size:"
"Plate",1,1
"Name:","Thickness","Width","Gauge Length",
"Size Unit:","mm","mm","mm",
" 1 - 1","1.0000","1.0000","100.0000",

"Name",
"Parameter",
"Units",
" 1 - 1",

" 1- 1"
"Time","Force","Stroke",
"sec","N","mm",
"0.00",.001,0,
"0.05",.001,9.333333E-03,
"0.10",.002,1.866667E-02,
"0.15",.001,.028,
"0.20",.002,3.733334E-02,
"0.25",.005,4.666667E-02,
"0.30",.008,5.566667E-02,
"0.35",.012,6.500001E-02,
"0.40",.015,7.433333E-02,
"0.45",.019,8.366667E-02,
"0.50",.023,.093,
"0.55",.027,.1023333,
"0.60",.031,.1116667,
"0.65",.035,.1206667,
"0.70",.038,.13,
"0.75",.041,.1393333,
"0.80",.044,.1486667,
"0.85",.047,.158,
"0.90",.051,.167,
"0.95",.055,.1763333,
"1.00",.058,.1856667,
"1.05",.062,.195,
"1.10",.066,.2043333,
"1.15",.069,.2136667,
"1.20",.073,.223,
"1.25",.075,.232,
"1.30",.077,.2413333,
"1.35",.08,.2506666,
"1.40",.082,.26,
"1.45",.085,.2693333,
"1.50",.089,.2786667,
"1.55",.091,.2876666,
"1.60",.094,.297,
"1.65",.097,.3063333,
"1.70",.101,.3156667,
"1.75",.105,.325,
"1.80",.109,.334,
"1.85",.114,.3433333,
"1.90",.117,.3526666,
"1.95",.12,.362,
"2.00",.123,.3706667,
"2.05",.127,.3796667,
"2.10",.131,.3886667,
"2.15",.135,.3976667,
"2.20",.138,.4066667,
"2.25",.141,.4156667,
"2.30",.144,.4246667,
"2.35",.145,.4336666,
"2.40",.15,.4423333,
"2.45",.155,.451,
"2.50",.159,.4596667,
"2.55",.163,.4686667,
"2.60",.166,.4773333,
"2.65",.168,.486,
"2.70",.171,.4946667,
"2.75",.173,.5033333,
"2.80",.177,.512,
"2.85",.18,.5206667,
"2.90",.184,.5293334,
"2.95",.188,.538,
"3.00",.19,.5466667,
"3.05",.193,.5553334,
"3.10",.195,.564,
"3.15",.198,.5723333,
